Product Link,Product Name,Visual Value
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0191987245789";"0191987245789"),Herringbone Double-Breasted Blazer,Coat
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0191987248087";"0191987248087"),Floral Robe Jacket,Blazer
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0191987254286";"0191987254286"),Etched Plaid Jacket,Blazer
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0191987268771";"0191987268771"),Suede Shirt Jacket,Blazer
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0191987271702";"0191987271702"),Tailored Jersey Jacket,Coat
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0191987272266";"0191987272266"),Double-Breasted Corduroy Blazer,Coat
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0191987277476";"0191987277476"),Cropped Jacquard Jacket,RegularLength
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0192148219779";"0192148219779"),Arlo Linen Jacket,Blazer
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0192148219861";"0192148219861"),Arlo Linen Jacket,Blazer
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0192148243767";"0192148243767"),Sedgwick II Tailored Jacket,Blazer
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0192148243859";"0192148243859"),Amelia Single-Breasted Jacket,Blazer
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0192148265363";"0192148265363"),Willow Faux Leather Vest,ShortSleeves
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0192148265721";"0192148265721"),Andy Jacket,Blazer
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0192148266087";"0192148266087"),Donovan Linen-Blend Jacket,RegularLength
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0192148266087";"0192148266087"),Donovan Linen-Blend Jacket,Blazer
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0192148280663";"0192148280663"),Arlo Linen Jacket,Blazer
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0192148294264";"0192148294264"),Reeve Wrap Cropped Jacket,Blazer
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0192374948443";"0192374948443"),Lightweight Boucle Coat,ThreeQuarterSleeves
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0192411586799";"0192411586799"),The On-The-Fringe Quilted Jacket,Bomber
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0192411616915";"0192411616915"),The Long Chopper Biker Jacket,Coat
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0192485929591";"0192485929591"),Sherpa Fleece Quilted Jacket,DownJacket
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0192521525473";"0192521525473"),Kimia Sherpa Tie-Waist Jacket,Blazer
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0192569834667";"0192569834667"),Beadnell Quilt Jacket,DownJacket
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0192648283324";"0192648283324"),Oaklane Trench Coat,ThreeQuarterSleeves
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0192648283324";"0192648283324"),Oaklane Trench Coat,Coat
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0192648535300";"0192648535300"),Oaklane Trench Coat,Coat
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0192648596776";"0192648596776"),Clairene Wool-Cashmere Coat,ThreeQuarterSleeves
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0192648596837";"0192648596837"),Clairene Wool-Cashmere Coat,ThreeQuarterSleeves
