Product Link,Product Name,Visual Value
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417733674";"0190417733674"),Snakeskin Racerback Sheath Midi-Dress,Cocktail
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417733766";"0190417733766"),Striped Twist Midi Shirtdress,Cocktail
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417733957";"0190417733957"),Bell-Sleeve Cut-Out Midi-Dress,Cocktail
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417734039";"0190417734039"),Bell-Sleeve Lace Minidress,ALine
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417734589";"0190417734589"),H-Line Shift Dress,ALine
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417734947";"0190417734947"),Bell-Sleeve Wool-Blend Minidress,Roundneck
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417735302";"0190417735302"),Satin Pleated Midi-Dress,Halter
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417735302";"0190417735302"),Satin Pleated Midi-Dress,Maxi
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417736774";"0190417736774"),Merino Wool-Blend Fringe Maxi Dress,Halter
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417742508";"0190417742508"),Sequined A-Line Gown,BoatNeck
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417742607";"0190417742607"),Sequined Cap-Sleeve A-Line Gown,StraightFit
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417742607";"0190417742607"),Sequined Cap-Sleeve A-Line Gown,BoatNeck
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417742683";"0190417742683"),Sequined Racerback Column Gown,Roundneck
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417742775";"0190417742775"),Sequined Racerback Column Gown,Roundneck
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417743147";"0190417743147"),Seamed Racerback Midi Sheath Dress,Roundneck
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417747817";"0190417747817"),Cashmere Bell-Sleeve A-Line Dress,Roundneck
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417754228";"0190417754228"),Sequined Cut-Out Bell-Sleeve Midi-Dress,Cocktail
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417757694";"0190417757694"),Gathered Silk Jersey Midi Dress,VNeck
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417757960";"0190417757960"),Sheath Wool-Blend Midi-Dress,Pencil
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417765187";"0190417765187"),Floral Poplin Shirtdress,ShortSleeves
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417765453";"0190417765453"),Sleeveless Sequined Gown,StraightFit
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417765545";"0190417765545"),Sequin-Embellished Ruffle-Sleeve Minidress,Cocktail
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417765729";"0190417765729"),Flared Wool-Blend Minidress,Roundneck
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190417765811";"0190417765811"),Scoopneck Flare Midi-Dress,BoatNeck
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0190515889594";"0190515889594"),Sleeveless Mini Dress,StraightFit
